method,rho,fdr,power,score
m-X-knockoff,0.0,0.0,0.0,-0.0026566732842796537
m-X-knockoff,0.1,0.0,0.0,-0.017495977167901078
m-X-knockoff,0.3,0.0,0.0,-0.0012021159046227137
m-X-knockoff,0.5,0.0,0.0,0.040986748037988296
m-X-knockoff,0.7,0.0,0.0,0.21174814555963573
m-X-knockoff,0.9,0.0,0.0,0.14265630806617813
CPI-knockoff,0.0,0.0,0.0,0.006663862826393863
CPI-knockoff,0.1,0.3333333333333333,0.8,0.02025591508348501
CPI-knockoff,0.3,0.0,0.0,0.1889832215537543
CPI-knockoff,0.5,0.0,1.0,0.5513800867716787
CPI-knockoff,0.7,0.0,1.0,0.8010560728639313
CPI-knockoff,0.9,0.0,1.0,0.9283001806289257
CPI-LS-knockoff,0.0,0.0,0.0,-0.0013440117309010402
CPI-LS-knockoff,0.1,0.0,0.0,-0.00020057067797241146
CPI-LS-knockoff,0.3,0.0,0.0,-0.0003886985797598719
CPI-LS-knockoff,0.5,0.0,0.0,-0.0010308779855383587
CPI-LS-knockoff,0.7,0.0,0.0,0.16617378692673268
CPI-LS-knockoff,0.9,0.0,0.0,0.06345169433789355
m-X-knockoff,0.0,0.0,0.0,-0.01223093257889074
m-X-knockoff,0.1,0.0,0.0,-0.022546439947759067
m-X-knockoff,0.3,0.0,0.0,0.020941622186276265
m-X-knockoff,0.5,0.0,0.0,0.04192506769323934
m-X-knockoff,0.7,0.0,0.0,0.1386313546971939
m-X-knockoff,0.9,0.0,0.0,0.09467112508268272
CPI-knockoff,0.0,0.0,0.0,-0.00208900549368507
CPI-knockoff,0.1,0.0,0.0,0.017855187193062172
CPI-knockoff,0.3,0.0,1.0,0.28012958378295316
CPI-knockoff,0.5,0.5,1.0,0.5682093483468581
CPI-knockoff,0.7,0.0,1.0,0.7409397297511651
CPI-knockoff,0.9,0.16666666666666666,1.0,0.962273370539956
CPI-LS-knockoff,0.0,0.0,0.0,-0.01267703547571808
CPI-LS-knockoff,0.1,0.0,0.0,-0.0017507898978199599
CPI-LS-knockoff,0.3,0.0,0.0,-0.0006101941663803068
CPI-LS-knockoff,0.5,0.0,0.0,-0.0030034958672183754
CPI-LS-knockoff,0.7,0.0,0.0,0.1001634315162801
CPI-LS-knockoff,0.9,0.0,0.0,0.16729991759932644
