method,rho,fdr,power,score
m-X-knockoff,0.0,0.0,0.0,-0.003771259251084347
m-X-knockoff,0.1,0.0,0.0,-0.005828213701666085
m-X-knockoff,0.3,0.0,0.0,0.016882247285435414
m-X-knockoff,0.5,0.0,0.0,-0.011345245391931824
m-X-knockoff,0.7,0.0,0.0,0.08962101020429902
m-X-knockoff,0.9,0.0,0.0,0.0681119469108954
CPI-knockoff,0.0,0.0,0.0,-0.0003563662763330644
CPI-knockoff,0.1,0.0,0.0,0.009501811797186399
CPI-knockoff,0.3,0.0,1.0,0.33960673241520967
CPI-knockoff,0.5,0.0,1.0,0.3740196447194245
CPI-knockoff,0.7,0.0,1.0,0.6921357821774177
CPI-knockoff,0.9,0.2857142857142857,1.0,0.9482397770288095
CPI-LS-knockoff,0.0,0.0,0.0,-0.0003563662763330644
CPI-LS-knockoff,0.1,0.0,0.0,-0.0009740804222510557
CPI-LS-knockoff,0.3,0.0,0.0,-0.0053670570576132
CPI-LS-knockoff,0.5,0.0,0.0,-0.0014430611924661774
CPI-LS-knockoff,0.7,0.0,0.0,-0.009413642914144149
CPI-LS-knockoff,0.9,0.0,0.0,0.12022774010551507
m-X-knockoff,0.0,0.0,0.0,-2.3565070206288397e-06
m-X-knockoff,0.1,0.0,0.0,-0.0005904193780377209
m-X-knockoff,0.3,0.0,0.0,-0.015559532902126305
m-X-knockoff,0.5,0.5,0.6,0.11912440621513587
m-X-knockoff,0.7,0.0,0.0,0.2689414099539452
m-X-knockoff,0.9,0.0,0.0,0.014052753187496103
CPI-knockoff,0.0,0.0,0.0,0.005471899060860597
CPI-knockoff,0.1,0.0,0.0,0.01994074484090469
CPI-knockoff,0.3,0.0,1.0,0.16134109082872694
CPI-knockoff,0.5,0.7727272727272727,1.0,0.5854777549185085
CPI-knockoff,0.7,0.0,1.0,0.870222231144048
CPI-knockoff,0.9,0.4444444444444444,1.0,0.9455720900691313
CPI-LS-knockoff,0.0,0.0,0.0,-1.0330291451143836e-06
CPI-LS-knockoff,0.1,0.0,0.0,-0.023310914567433727
CPI-LS-knockoff,0.3,0.0,0.0,-0.008970270440832873
CPI-LS-knockoff,0.5,0.0,0.0,0.03385987529559775
CPI-LS-knockoff,0.7,0.0,0.0,0.1893003282192201
CPI-LS-knockoff,0.9,0.0,0.0,0.10822346317236292
m-X-knockoff,0.0,0.0,0.0,-0.009264088240392043
m-X-knockoff,0.1,0.0,0.0,-0.016525195966233364
m-X-knockoff,0.3,0.0,0.0,0.0023031616580364567
m-X-knockoff,0.5,0.0,0.0,-0.06521857514904328
m-X-knockoff,0.7,0.3333333333333333,0.8,-0.05773867118995213
m-X-knockoff,0.9,0.4,0.6,0.19002634334421087
CPI-knockoff,0.0,0.0,0.0,-0.0011909570798039892
CPI-knockoff,0.1,0.0,0.0,0.00508403829603038
CPI-knockoff,0.3,0.2857142857142857,1.0,0.32244108992268444
CPI-knockoff,0.5,0.16666666666666666,1.0,0.5354173463427468
CPI-knockoff,0.7,0.0,1.0,0.8012748561240643
CPI-knockoff,0.9,0.2857142857142857,1.0,0.913015997986373
CPI-LS-knockoff,0.0,0.0,0.0,-0.0011909570798039892
CPI-LS-knockoff,0.1,0.0,0.0,-0.0024141889379263315
CPI-LS-knockoff,0.3,0.0,0.0,-0.0002193471909199829
CPI-LS-knockoff,0.5,0.0,0.0,-0.04421688348801023
CPI-LS-knockoff,0.7,0.42857142857142855,0.8,0.11183157422367623
CPI-LS-knockoff,0.9,0.0,0.0,0.05147049805074633
m-X-knockoff,0.0,0.0,0.0,-0.0006442941036577388
m-X-knockoff,0.1,0.0,0.0,-0.012585037737457005
m-X-knockoff,0.3,0.0,0.0,0.012328573398769804
m-X-knockoff,0.5,0.0,0.0,0.13051680820470457
m-X-knockoff,0.7,0.0,0.0,0.13692081677456358
m-X-knockoff,0.9,0.0,0.0,-0.030477092677051232
CPI-knockoff,0.0,0.0,0.0,0.0003439633119153296
CPI-knockoff,0.1,0.0,0.0,0.0001728535413544341
CPI-knockoff,0.3,0.16666666666666666,1.0,0.2924907562423649
CPI-knockoff,0.5,0.0,1.0,0.5035329060052456
CPI-knockoff,0.7,0.0,1.0,0.7505538369897462
CPI-knockoff,0.9,0.16666666666666666,1.0,0.945257761885687
CPI-LS-knockoff,0.0,0.0,0.0,-0.002736802453482734
CPI-LS-knockoff,0.1,0.0,0.0,-7.887825417784988e-05
CPI-LS-knockoff,0.3,0.0,0.0,-0.010572020457754183
CPI-LS-knockoff,0.5,0.0,0.0,-0.0038991167439107466
CPI-LS-knockoff,0.7,0.0,0.0,-8.596052017684208e-05
CPI-LS-knockoff,0.9,0.0,0.0,0.11662067807292631
m-X-knockoff,0.0,0.0,0.0,-0.011677091075831036
m-X-knockoff,0.1,0.0,0.0,-0.024001453167879827
m-X-knockoff,0.3,0.0,0.0,0.05572263697902724
m-X-knockoff,0.5,0.0,0.0,0.03272462763905326
m-X-knockoff,0.7,0.0,0.0,0.1828177227789577
m-X-knockoff,0.9,0.0,0.0,0.21172044233485077
CPI-knockoff,0.0,0.0,0.0,0.0037299280135415502
CPI-knockoff,0.1,0.0,0.0,-0.001265013986898822
CPI-knockoff,0.3,0.0,1.0,0.30651140076296934
CPI-knockoff,0.5,0.16666666666666666,1.0,0.43904129054827773
CPI-knockoff,0.7,0.0,1.0,0.7959530298042409
CPI-knockoff,0.9,0.375,1.0,0.955089846867392
CPI-LS-knockoff,0.0,0.0,0.0,-0.002725097982126279
CPI-LS-knockoff,0.1,0.0,0.0,-0.0029788815575424454
CPI-LS-knockoff,0.3,0.0,0.0,0.005667911426707084
CPI-LS-knockoff,0.5,0.0,0.0,-0.0008995692714343084
CPI-LS-knockoff,0.7,0.0,0.0,0.05140836671477217
CPI-LS-knockoff,0.9,0.0,0.0,0.04519592381940518
m-X-knockoff,0.0,0.0,0.0,-0.0027862076943334646
m-X-knockoff,0.1,0.0,0.0,-0.041020686037313236
m-X-knockoff,0.3,0.0,0.0,0.03257569791123749
m-X-knockoff,0.5,0.4,0.6,-0.1799484861175602
m-X-knockoff,0.7,0.0,0.0,0.005857110775347563
m-X-knockoff,0.9,0.0,0.0,0.1269540054935917
CPI-knockoff,0.0,0.0,0.0,-0.012611366324618678
CPI-knockoff,0.1,0.0,1.0,0.07440640812386468
CPI-knockoff,0.3,0.2857142857142857,1.0,0.10695395147922393
CPI-knockoff,0.5,0.2857142857142857,1.0,0.40086372473007875
CPI-knockoff,0.7,0.2857142857142857,1.0,0.7683715096495374
CPI-knockoff,0.9,0.2857142857142857,1.0,0.9278165359448342
CPI-LS-knockoff,0.0,0.0,0.0,-0.020337772486881067
CPI-LS-knockoff,0.1,0.0,0.0,-8.434569633997135e-05
CPI-LS-knockoff,0.3,0.0,0.0,-6.743824818045141e-05
CPI-LS-knockoff,0.5,0.0,0.0,-0.0001148115406525152
CPI-LS-knockoff,0.7,0.0,0.0,0.023273281845022864
CPI-LS-knockoff,0.9,0.0,0.0,0.08821521502509772
m-X-knockoff,0.0,0.0,0.0,-0.00021182778713146888
m-X-knockoff,0.1,0.0,0.0,0.01049429711398353
m-X-knockoff,0.3,0.4,0.6,0.00022233572664498436
m-X-knockoff,0.5,0.0,0.0,0.13492786714970784
m-X-knockoff,0.7,0.0,0.0,0.1900292938843332
m-X-knockoff,0.9,0.0,0.0,0.17269506061537432
CPI-knockoff,0.0,0.5,0.6,0.02612546323198245
CPI-knockoff,0.1,0.0,0.0,0.007416811922115185
CPI-knockoff,0.3,0.0,1.0,0.14865618995091856
CPI-knockoff,0.5,0.0,1.0,0.5375638863566394
CPI-knockoff,0.7,0.5,1.0,0.8210426704246335
CPI-knockoff,0.9,0.16666666666666666,1.0,0.9094619132149654
CPI-LS-knockoff,0.0,0.0,0.0,-0.0037926874683303913
CPI-LS-knockoff,0.1,0.0,0.0,-0.020116582960569063
CPI-LS-knockoff,0.3,0.0,0.0,-0.003173637200095003
CPI-LS-knockoff,0.5,0.0,0.0,-0.016524114457572958
CPI-LS-knockoff,0.7,0.5,0.6,0.1567794622136705
CPI-LS-knockoff,0.9,0.4,0.6,0.086295403526303
m-X-knockoff,0.0,0.0,0.0,0.011279352329845449
m-X-knockoff,0.1,0.0,0.0,-0.0012223420832302434
m-X-knockoff,0.3,0.0,0.0,0.002483867032030629
m-X-knockoff,0.5,0.0,0.0,0.07929878226652476
m-X-knockoff,0.7,0.0,0.0,0.07434679715750236
m-X-knockoff,0.9,0.0,0.0,0.1427698841250834
CPI-knockoff,0.0,0.0,0.0,0.011581054439255722
CPI-knockoff,0.1,0.0,0.0,0.0003069623672544708
CPI-knockoff,0.3,0.0,1.0,0.1938076081597619
CPI-knockoff,0.5,0.5454545454545454,1.0,0.4920740373484999
CPI-knockoff,0.7,0.2857142857142857,1.0,0.7295569116038368
CPI-knockoff,0.9,0.0,1.0,0.954863263648742
CPI-LS-knockoff,0.0,0.0,0.0,-2.1581026909966994e-07
CPI-LS-knockoff,0.1,0.0,0.0,-0.0017498498390007278
CPI-LS-knockoff,0.3,0.0,0.0,-0.016097666235270314
CPI-LS-knockoff,0.5,0.0,0.0,0.007256570528503925
CPI-LS-knockoff,0.7,0.4,0.6,0.006181477478555686
CPI-LS-knockoff,0.9,0.0,0.0,0.05920353113847898
