method,rho,fdr,power,score
m-X-knockoff,0.0,0.16666666666666666,1.0,0.9999999876810491
m-X-knockoff,0.1,0.0,1.0,0.9999999909003479
m-X-knockoff,0.3,0.0,1.0,0.9999999875424616
m-X-knockoff,0.5,0.7619047619047619,1.0,0.9999999833701468
m-X-knockoff,0.7,0.0,1.0,0.9999998877621575
m-X-knockoff,0.9,0.0,1.0,0.9999993234225089
CPI-knockoff,0.0,0.0,1.0,0.9999999963110241
CPI-knockoff,0.1,0.0,1.0,0.9999999963287203
CPI-knockoff,0.3,0.0,1.0,0.9999999906371807
CPI-knockoff,0.5,0.0,1.0,0.9999999857967858
CPI-knockoff,0.7,0.0,1.0,0.9999999545988727
CPI-knockoff,0.9,0.0,1.0,0.9999998605738073
CPI-LS-knockoff,0.0,0.0,1.0,0.9999999963110241
CPI-LS-knockoff,0.1,0.0,1.0,0.9999999963287203
CPI-LS-knockoff,0.3,0.0,1.0,0.9999999906371807
CPI-LS-knockoff,0.5,0.0,1.0,0.9999999857967858
CPI-LS-knockoff,0.7,0.0,1.0,0.9999999545988727
CPI-LS-knockoff,0.9,0.0,1.0,0.9999998605738073
m-X-knockoff,0.0,0.0,1.0,0.9999999899022263
m-X-knockoff,0.1,0.0,1.0,0.9999999860270328
m-X-knockoff,0.3,0.0,1.0,0.9999999866559083
m-X-knockoff,0.5,0.5454545454545454,1.0,0.9999999728481853
m-X-knockoff,0.7,0.16666666666666666,1.0,0.9999999616930194
m-X-knockoff,0.9,0.0,1.0,0.9999874976856765
CPI-knockoff,0.0,0.0,1.0,0.9999999959565005
CPI-knockoff,0.1,0.0,1.0,0.9999999959255029
CPI-knockoff,0.3,0.0,1.0,0.9999999936435591
CPI-knockoff,0.5,0.0,1.0,0.999999980395694
CPI-knockoff,0.7,0.0,1.0,0.9999999471054721
CPI-knockoff,0.9,0.0,1.0,0.9999998374372816
CPI-LS-knockoff,0.0,0.0,1.0,0.9999999959565005
CPI-LS-knockoff,0.1,0.0,1.0,0.9999999959255029
CPI-LS-knockoff,0.3,0.0,1.0,0.9999999936435591
CPI-LS-knockoff,0.5,0.0,1.0,0.999999980395694
CPI-LS-knockoff,0.7,0.0,1.0,0.9999999471054721
CPI-LS-knockoff,0.9,0.0,1.0,0.9999998374372816
m-X-knockoff,0.0,0.0,1.0,0.9999999886794704
m-X-knockoff,0.1,0.0,1.0,0.99999998867489
m-X-knockoff,0.3,0.0,1.0,0.9999999865084154
m-X-knockoff,0.5,0.5454545454545454,1.0,0.9999999866391833
m-X-knockoff,0.7,0.0,1.0,0.999999973698484
m-X-knockoff,0.9,0.16666666666666666,1.0,0.9999938588497509
CPI-knockoff,0.0,0.0,1.0,0.9999999969718087
CPI-knockoff,0.1,0.0,1.0,0.999999996219447
CPI-knockoff,0.3,0.0,1.0,0.99999999479808
CPI-knockoff,0.5,0.0,1.0,0.9999999919397651
CPI-knockoff,0.7,0.0,1.0,0.9999999342551951
CPI-knockoff,0.9,0.0,1.0,0.9999997838571646
CPI-LS-knockoff,0.0,0.0,1.0,0.9999999969718087
CPI-LS-knockoff,0.1,0.0,1.0,0.999999996219447
CPI-LS-knockoff,0.3,0.0,1.0,0.99999999479808
CPI-LS-knockoff,0.5,0.0,1.0,0.9999999919397651
CPI-LS-knockoff,0.7,0.0,1.0,0.9999999342551951
CPI-LS-knockoff,0.9,0.0,1.0,0.9999997838571646
m-X-knockoff,0.0,0.0,1.0,0.9999999923928429
m-X-knockoff,0.1,0.0,1.0,0.9999999867719885
m-X-knockoff,0.3,0.0,1.0,0.9999999836291812
m-X-knockoff,0.5,0.4444444444444444,1.0,0.9999999751123287
m-X-knockoff,0.7,0.6875,1.0,0.9999998954222432
m-X-knockoff,0.9,0.16666666666666666,1.0,0.999999919455931
CPI-knockoff,0.0,0.0,1.0,0.9999999966504559
CPI-knockoff,0.1,0.0,1.0,0.9999999967136536
CPI-knockoff,0.3,0.0,1.0,0.9999999919159546
CPI-knockoff,0.5,0.0,1.0,0.9999999822044683
CPI-knockoff,0.7,0.0,1.0,0.9999999585342696
CPI-knockoff,0.9,0.16666666666666666,1.0,0.9999997863447394
CPI-LS-knockoff,0.0,0.0,1.0,0.9999999966504559
CPI-LS-knockoff,0.1,0.0,1.0,0.9999999967136536
CPI-LS-knockoff,0.3,0.0,1.0,0.9999999919159546
CPI-LS-knockoff,0.5,0.0,1.0,0.9999999822044683
CPI-LS-knockoff,0.7,0.0,1.0,0.9999999585342696
CPI-LS-knockoff,0.9,0.16666666666666666,1.0,0.9999997863447394
m-X-knockoff,0.0,0.2857142857142857,1.0,0.9999999885894671
m-X-knockoff,0.1,0.0,1.0,0.9999999862128076
m-X-knockoff,0.3,0.0,1.0,0.9999999882790471
m-X-knockoff,0.5,0.6875,1.0,0.9999999855810117
m-X-knockoff,0.7,0.2857142857142857,1.0,0.9999999443206958
m-X-knockoff,0.9,0.5,1.0,0.9999999061857366
CPI-knockoff,0.0,0.0,1.0,0.9999999967631075
CPI-knockoff,0.1,0.0,1.0,0.9999999951744136
CPI-knockoff,0.3,0.0,1.0,0.9999999923538305
CPI-knockoff,0.5,0.0,1.0,0.9999999868075702
CPI-knockoff,0.7,0.16666666666666666,1.0,0.9999999605276996
CPI-knockoff,0.9,0.0,1.0,0.9999997861849657
CPI-LS-knockoff,0.0,0.0,1.0,0.9999999967631075
CPI-LS-knockoff,0.1,0.0,1.0,0.9999999951744136
CPI-LS-knockoff,0.3,0.0,1.0,0.9999999923538305
CPI-LS-knockoff,0.5,0.0,1.0,0.9999999868075702
CPI-LS-knockoff,0.7,0.16666666666666666,1.0,0.9999999605276996
CPI-LS-knockoff,0.9,0.0,1.0,0.9999997861849657
m-X-knockoff,0.0,0.4444444444444444,1.0,0.999999988219935
m-X-knockoff,0.1,0.375,1.0,0.9999999892902549
m-X-knockoff,0.3,0.0,1.0,0.9999999842893895
m-X-knockoff,0.5,0.0,1.0,0.9999999838595114
m-X-knockoff,0.7,0.0,1.0,0.9999999619184854
m-X-knockoff,0.9,0.16666666666666666,1.0,0.9999885587121893
CPI-knockoff,0.0,0.0,1.0,0.9999999968872499
CPI-knockoff,0.1,0.0,1.0,0.9999999963271841
CPI-knockoff,0.3,0.0,1.0,0.9999999942081458
CPI-knockoff,0.5,0.0,1.0,0.9999999864121426
CPI-knockoff,0.7,0.0,1.0,0.9999999468105026
CPI-knockoff,0.9,0.16666666666666666,1.0,0.999999820275231
CPI-LS-knockoff,0.0,0.0,1.0,0.9999999968872499
CPI-LS-knockoff,0.1,0.0,1.0,0.9999999963271841
CPI-LS-knockoff,0.3,0.0,1.0,0.9999999942081458
CPI-LS-knockoff,0.5,0.0,1.0,0.9999999864121426
CPI-LS-knockoff,0.7,0.0,1.0,0.9999999468105026
CPI-LS-knockoff,0.9,0.16666666666666666,1.0,0.999999820275231
m-X-knockoff,0.0,0.0,1.0,0.9999999906435608
m-X-knockoff,0.1,0.16666666666666666,1.0,0.9999999871446252
m-X-knockoff,0.3,0.0,1.0,0.9999999855271793
m-X-knockoff,0.5,0.0,1.0,0.9999999791043419
m-X-knockoff,0.7,0.0,1.0,0.999999957620905
m-X-knockoff,0.9,0.2857142857142857,1.0,0.9999999466032963
CPI-knockoff,0.0,0.0,1.0,0.9999999957043275
CPI-knockoff,0.1,0.0,1.0,0.9999999961976898
CPI-knockoff,0.3,0.0,1.0,0.9999999935430999
CPI-knockoff,0.5,0.16666666666666666,1.0,0.9999999839547096
CPI-knockoff,0.7,0.0,1.0,0.9999999556257798
CPI-knockoff,0.9,0.0,1.0,0.9999998169024719
CPI-LS-knockoff,0.0,0.0,1.0,0.9999999957043275
CPI-LS-knockoff,0.1,0.0,1.0,0.9999999961976898
CPI-LS-knockoff,0.3,0.0,1.0,0.9999999935430999
CPI-LS-knockoff,0.5,0.16666666666666666,1.0,0.9999999839547096
CPI-LS-knockoff,0.7,0.0,1.0,0.9999999556257798
CPI-LS-knockoff,0.9,0.0,1.0,0.9999998169024719
m-X-knockoff,0.0,0.0,1.0,0.9999999875581815
m-X-knockoff,0.1,0.0,1.0,0.9999999833821865
m-X-knockoff,0.3,0.0,1.0,0.9999999805945444
m-X-knockoff,0.5,0.16666666666666666,1.0,0.9999999811901892
m-X-knockoff,0.7,0.0,1.0,0.9999999644582732
m-X-knockoff,0.9,0.16666666666666666,1.0,0.9999999448655995
CPI-knockoff,0.0,0.0,1.0,0.9999999956428971
CPI-knockoff,0.1,0.0,1.0,0.9999999965780568
CPI-knockoff,0.3,0.0,1.0,0.9999999935502916
CPI-knockoff,0.5,0.0,1.0,0.9999999908176977
CPI-knockoff,0.7,0.0,1.0,0.9999999588326486
CPI-knockoff,0.9,0.0,1.0,0.9999998510168095
