method,rho,fdr,power,score
CPI-knockoff,0.3,0.0,0.0,0.0025151780468337104
CPI-knockoff,0.5,0.0,0.0,0.009339181420567388
CPI-knockoff,0.7,0.0,0.0,0.02184948202156134
CPI-knockoff,0.9,0.0,0.0,0.0028359454533899986
CPI-LS-knockoff,0.0,0.0,0.0,-0.0018151919305448017
CPI-LS-knockoff,0.1,0.0,0.0,-0.007112822929196572
CPI-LS-knockoff,0.3,0.0,0.0,-0.006297872913653357
CPI-LS-knockoff,0.5,0.0,0.0,-7.443563192477409e-05
CPI-LS-knockoff,0.7,0.0,0.0,0.0009750543115217836
CPI-LS-knockoff,0.9,0.0,0.0,-0.0016745920138883097
m-X-knockoff,0.0,0.0,0.0,-0.013023270717753777
m-X-knockoff,0.1,0.0,0.0,-0.004112142125552776
m-X-knockoff,0.3,0.0,0.0,-0.03521741758897079
m-X-knockoff,0.5,0.0,0.0,-0.01064858813965941
m-X-knockoff,0.7,0.0,0.0,-0.01665178563700942
m-X-knockoff,0.9,0.0,0.0,0.006143768107502057
CPI-knockoff,0.0,0.0,0.0,0.00484229878709419
CPI-knockoff,0.1,0.0,0.0,0.008065098021205697
CPI-knockoff,0.3,0.8333333333333334,0.02,0.003635927977087783
CPI-knockoff,0.5,0.0,0.0,-0.001219504312964137
CPI-knockoff,0.7,0.0,0.0,0.01761136607844005
CPI-knockoff,0.9,0.0,0.0,0.0074253636094245845
CPI-LS-knockoff,0.0,0.0,0.0,-6.761531215371264e-06
CPI-LS-knockoff,0.1,0.0,0.0,-1.7799977114485444e-07
CPI-LS-knockoff,0.3,0.0,0.0,-0.00010279184767791882
CPI-LS-knockoff,0.5,0.0,0.0,-0.001219504312964137
CPI-LS-knockoff,0.7,0.0,0.0,-0.001985674467022469
CPI-LS-knockoff,0.9,0.0,0.0,-0.0018929885052825224
m-X-knockoff,0.0,0.0,0.0,-0.014202127622026106
m-X-knockoff,0.1,0.0,0.0,-0.014833931223827923
m-X-knockoff,0.3,0.0,0.0,-0.03421723153738876
m-X-knockoff,0.5,0.0,0.0,-0.0034356535408182065
m-X-knockoff,0.7,0.0,0.0,-0.006909466287772448
m-X-knockoff,0.9,0.0,0.0,0.002930058402561886
CPI-knockoff,0.0,0.0,0.0,0.0019895269900196966
CPI-knockoff,0.1,0.0,0.0,-0.004581857793020561
CPI-knockoff,0.3,0.0,0.0,0.0040524434628366746
CPI-knockoff,0.5,0.0,0.0,-0.006602161688692987
CPI-knockoff,0.7,0.0,0.0,0.0005484522490376564
CPI-knockoff,0.9,0.8,0.02,0.0017510787427859054
CPI-LS-knockoff,0.0,0.0,0.0,-0.0014952374161433246
CPI-LS-knockoff,0.1,0.0,0.0,-0.00774287283409969
CPI-LS-knockoff,0.3,0.0,0.0,-0.0007312736852335133
CPI-LS-knockoff,0.5,0.0,0.0,-0.01321026120899993
CPI-LS-knockoff,0.7,0.0,0.0,-0.00042559266253883177
CPI-LS-knockoff,0.9,0.0,0.0,-0.0027945975635154108
m-X-knockoff,0.0,0.0,0.0,-0.007688453035556542
m-X-knockoff,0.1,0.0,0.0,-0.012578526982581106
m-X-knockoff,0.3,0.0,0.0,-0.0006678082369977467
m-X-knockoff,0.5,0.0,0.0,-0.0005308029602835163
m-X-knockoff,0.7,0.0,0.0,-6.516712317350404e-05
m-X-knockoff,0.9,0.0,0.0,-0.01797530118117341
CPI-knockoff,0.0,0.0,0.0,-0.008576992252194549
CPI-knockoff,0.1,0.0,0.0,0.0019640700548747003
CPI-knockoff,0.3,0.0,0.0,0.00447395121191424
CPI-knockoff,0.5,0.0,0.0,-0.003455371069281399
CPI-knockoff,0.7,0.0,0.0,-4.341455283674023e-05
CPI-knockoff,0.9,0.0,0.0,-0.00021840272236639535
CPI-LS-knockoff,0.0,0.0,0.0,-0.012882367247759818
CPI-LS-knockoff,0.1,0.0,0.0,-0.003974092509354765
CPI-LS-knockoff,0.3,0.0,0.0,-0.0004531845053189487
CPI-LS-knockoff,0.5,0.0,0.0,-0.003455371069281399
CPI-LS-knockoff,0.7,0.0,0.0,-0.0004016041198676712
CPI-LS-knockoff,0.9,0.0,0.0,-0.00021840272236639535
m-X-knockoff,0.0,0.0,0.0,-0.03174886585997072
m-X-knockoff,0.1,0.0,0.0,-0.0030903405212154844
m-X-knockoff,0.3,0.0,0.0,-0.04757268537510373
m-X-knockoff,0.5,0.0,0.0,-0.002398715783029859
m-X-knockoff,0.7,0.0,0.0,-0.015497351205136844
m-X-knockoff,0.9,0.0,0.0,-0.0007593355819406344
CPI-knockoff,0.0,0.0,0.0,-0.0034379356871869216
CPI-knockoff,0.1,0.0,0.0,0.001850757809381709
CPI-knockoff,0.3,0.0,0.0,-1.3928034809707057e-05
CPI-knockoff,0.5,0.0,0.0,-0.012736590591565844
CPI-knockoff,0.7,0.0,0.0,0.021153145201921908
CPI-knockoff,0.9,0.0,0.0,-0.0013092955477254087
CPI-LS-knockoff,0.0,0.0,0.0,-0.0176706249953954
CPI-LS-knockoff,0.1,0.0,0.0,-4.99000595500787e-05
CPI-LS-knockoff,0.3,0.0,0.0,-1.3928034809707057e-05
CPI-LS-knockoff,0.5,0.0,0.0,-0.024562083631760157
CPI-LS-knockoff,0.7,0.0,0.0,-0.00657157161715427
CPI-LS-knockoff,0.9,0.0,0.0,-0.0014525229114059623
m-X-knockoff,0.0,0.0,0.0,-0.01198245111205365
m-X-knockoff,0.1,0.0,0.0,-0.008208196942632862
m-X-knockoff,0.3,0.0,0.0,-0.00017878645617130928
m-X-knockoff,0.5,0.0,0.0,-0.00580956817667766
m-X-knockoff,0.7,0.0,0.0,-0.007665036921084889
m-X-knockoff,0.9,0.0,0.0,0.00862072643998546
CPI-knockoff,0.0,0.0,0.0,0.0034503179294999575
CPI-knockoff,0.1,0.0,0.0,-0.0007314853814234246
CPI-knockoff,0.3,0.0,0.0,-0.0031026994717956446
CPI-knockoff,0.5,0.0,0.0,0.010086333509012835
CPI-knockoff,0.7,0.0,0.0,-0.00034790407445184357
CPI-knockoff,0.9,0.0,0.0,0.028824032415728285
CPI-LS-knockoff,0.0,0.0,0.0,-0.008003698364114076
CPI-LS-knockoff,0.1,0.0,0.0,-0.0029004177699505362
CPI-LS-knockoff,0.3,0.0,0.0,-0.0031026994717956446
CPI-LS-knockoff,0.5,0.0,0.0,-0.0015232507905866832
CPI-LS-knockoff,0.7,0.0,0.0,-0.00034790407445184357
CPI-LS-knockoff,0.9,0.0,0.0,-0.0005967454797158878
m-X-knockoff,0.0,0.0,0.0,-0.0013270684893598172
m-X-knockoff,0.1,0.0,0.0,-0.003262785129373169
m-X-knockoff,0.3,0.0,0.0,-0.0018397664596681018
m-X-knockoff,0.5,0.0,0.0,-0.005620747963466011
m-X-knockoff,0.7,0.0,0.0,-0.005341246863052707
m-X-knockoff,0.9,0.0,0.0,-0.025670267918708856
CPI-knockoff,0.0,0.0,0.0,-0.00010549145785493375
CPI-knockoff,0.1,0.0,0.0,0.0017828516842888775
CPI-knockoff,0.3,0.0,0.0,-0.00790122998047682
CPI-knockoff,0.5,0.0,0.0,-0.0004943238497764346
CPI-knockoff,0.7,0.0,0.0,-0.00046529186331434325
CPI-knockoff,0.9,0.0,0.0,0.004640158407870243
CPI-LS-knockoff,0.0,0.0,0.0,-0.0033415967417901316
CPI-LS-knockoff,0.1,0.0,0.0,-0.00716635530335108
CPI-LS-knockoff,0.3,0.0,0.0,-0.008812044037957323
CPI-LS-knockoff,0.5,0.0,0.0,-0.0004943238497764346
CPI-LS-knockoff,0.7,0.0,0.0,-0.00046529186331434325
CPI-LS-knockoff,0.9,0.0,0.0,-0.002314057135917702
