method,rho,fdr,power,score
m-X-knockoff,0.0,0.0,0.0,-9.27520744307131e-05
m-X-knockoff,0.1,0.0,0.0,-0.0033668156463750876
m-X-knockoff,0.3,0.0,0.0,-0.008482010506763782
m-X-knockoff,0.5,0.0,0.0,0.002298510551374533
m-X-knockoff,0.7,0.0,0.0,-0.00017429619979880684
m-X-knockoff,0.9,0.0,0.0,-0.0003929423606381377
CPI-knockoff,0.0,0.0,0.0,-0.004737068588276938
CPI-knockoff,0.1,0.0,0.0,-0.0001360656282276551
CPI-knockoff,0.3,0.0,0.0,0.004264320684683909
CPI-knockoff,0.5,0.0,0.0,-0.0036638492349885254
CPI-knockoff,0.7,0.0,0.0,-0.009466011108603567
CPI-knockoff,0.9,0.0,0.0,-0.010127862730642478
CPI-LS-knockoff,0.0,0.0,0.0,-0.004737068588276938
CPI-LS-knockoff,0.1,0.0,0.0,-0.0004567631685591378
CPI-LS-knockoff,0.3,0.0,0.0,-0.0046375771770715835
CPI-LS-knockoff,0.5,0.0,0.0,-0.0036638492349885254
CPI-LS-knockoff,0.7,0.0,0.0,-0.009466011108603567
CPI-LS-knockoff,0.9,0.0,0.0,-0.010127862730642478
m-X-knockoff,0.0,0.0,0.0,-0.002102189332491289
m-X-knockoff,0.1,0.0,0.0,-0.0077155364264489545
m-X-knockoff,0.3,0.0,0.0,-0.007380819753089796
m-X-knockoff,0.5,0.0,0.0,-0.016826962756995023
m-X-knockoff,0.7,0.0,0.0,-0.010016437840799197
m-X-knockoff,0.9,0.0,0.0,0.05376467715448341
CPI-knockoff,0.0,0.0,0.0,0.0007018916249663665
CPI-knockoff,0.1,0.0,0.0,0.009800919143317044
CPI-knockoff,0.3,0.0,0.0,-0.011010068770054282
CPI-knockoff,0.5,0.0,0.0,0.002332553177476715
CPI-knockoff,0.7,0.0,0.0,-0.0073698497667565865
CPI-knockoff,0.9,0.0,0.0,0.02597180840975316
CPI-LS-knockoff,0.0,0.0,0.0,-0.010962602912861774
CPI-LS-knockoff,0.1,0.0,0.0,-0.005551221922932226
CPI-LS-knockoff,0.3,0.0,0.0,-0.011010068770054282
CPI-LS-knockoff,0.5,0.0,0.0,-0.0007006514918153073
CPI-LS-knockoff,0.7,0.0,0.0,-0.0073698497667565865
CPI-LS-knockoff,0.9,0.0,0.0,0.02597180840975316
m-X-knockoff,0.0,0.0,0.0,-0.004136421243993826
m-X-knockoff,0.1,0.0,0.0,-0.0063192269645351296
m-X-knockoff,0.3,0.0,0.0,-0.001694897131740758
m-X-knockoff,0.5,0.0,0.0,-0.04149327099261657
m-X-knockoff,0.7,0.0,0.0,-0.006256343318071567
m-X-knockoff,0.9,0.0,0.0,-0.03720559230904774
CPI-knockoff,0.0,0.0,0.0,-0.018897548982283463
CPI-knockoff,0.1,0.0,0.0,-0.0021799397862511394
CPI-knockoff,0.3,0.0,0.0,-0.014941359923388853
CPI-knockoff,0.5,0.0,0.0,-0.002125045872283904
CPI-knockoff,0.7,0.0,0.0,-0.01414558832014079
CPI-knockoff,0.9,0.0,0.0,0.029671396389355065
CPI-LS-knockoff,0.0,0.0,0.0,-0.02420140835639495
CPI-LS-knockoff,0.1,0.0,0.0,-0.004068214878271581
CPI-LS-knockoff,0.3,0.0,0.0,-0.014941359923388853
CPI-LS-knockoff,0.5,0.0,0.0,-0.004184330698116523
CPI-LS-knockoff,0.7,0.0,0.0,-0.015427761312477029
CPI-LS-knockoff,0.9,0.0,0.0,0.029671396389355065
m-X-knockoff,0.0,0.0,0.0,-0.006838626271826742
m-X-knockoff,0.1,0.0,0.0,0.004019994306530106
m-X-knockoff,0.3,0.0,0.0,-0.0009588464592162893
m-X-knockoff,0.5,0.0,0.0,-0.0013473326684756426
m-X-knockoff,0.7,0.0,0.0,-0.00032168898018491987
m-X-knockoff,0.9,0.0,0.0,-0.0137865139019544
CPI-knockoff,0.0,0.0,0.0,-0.001635829227012886
CPI-knockoff,0.1,0.0,0.0,-0.007112822929196572
