method,rho,fdr,power
m-X-knockoff,0.0,0.2857142857142857,1.0
m-X-knockoff,0.1,0.0,1.0
m-X-knockoff,0.3,0.5,1.0
m-X-knockoff,0.5,0.16666666666666666,1.0
m-X-knockoff,0.7,0.2857142857142857,1.0
m-X-knockoff,0.9,0.0,1.0
CPI-knockoff,0.0,0.0,1.0
CPI-knockoff,0.1,0.0,1.0
CPI-knockoff,0.3,0.0,1.0
CPI-knockoff,0.5,0.16666666666666666,1.0
CPI-knockoff,0.7,0.16666666666666666,1.0
CPI-knockoff,0.9,0.2857142857142857,1.0
m-X-knockoff,0.0,0.0,1.0
m-X-knockoff,0.1,0.2857142857142857,1.0
m-X-knockoff,0.3,0.16666666666666666,1.0
m-X-knockoff,0.5,0.2857142857142857,1.0
m-X-knockoff,0.7,0.0,1.0
m-X-knockoff,0.9,0.0,1.0
CPI-knockoff,0.0,0.0,1.0
CPI-knockoff,0.1,0.0,1.0
CPI-knockoff,0.3,0.0,1.0
CPI-knockoff,0.5,0.0,1.0
CPI-knockoff,0.7,0.16666666666666666,1.0
CPI-knockoff,0.9,0.5,1.0
m-X-knockoff,0.0,0.0,1.0
m-X-knockoff,0.1,0.16666666666666666,1.0
m-X-knockoff,0.3,0.16666666666666666,1.0
m-X-knockoff,0.5,0.16666666666666666,1.0
m-X-knockoff,0.7,0.0,1.0
m-X-knockoff,0.9,0.2857142857142857,1.0
CPI-knockoff,0.0,0.0,1.0
CPI-knockoff,0.1,0.16666666666666666,1.0
CPI-knockoff,0.3,0.0,1.0
CPI-knockoff,0.5,0.0,1.0
CPI-knockoff,0.7,0.0,1.0
CPI-knockoff,0.9,0.0,1.0
m-X-knockoff,0.0,0.0,1.0
m-X-knockoff,0.1,0.0,1.0
m-X-knockoff,0.3,0.0,1.0
m-X-knockoff,0.5,0.0,1.0
m-X-knockoff,0.7,0.0,1.0
m-X-knockoff,0.9,0.0,1.0
CPI-knockoff,0.0,0.0,1.0
CPI-knockoff,0.1,0.0,1.0
CPI-knockoff,0.3,0.0,1.0
CPI-knockoff,0.5,0.16666666666666666,1.0
CPI-knockoff,0.7,0.0,1.0
CPI-knockoff,0.9,0.16666666666666666,1.0
m-X-knockoff,0.0,0.16666666666666666,1.0
m-X-knockoff,0.1,0.2857142857142857,1.0
m-X-knockoff,0.3,0.16666666666666666,1.0
m-X-knockoff,0.5,0.0,1.0
m-X-knockoff,0.7,0.0,1.0
m-X-knockoff,0.9,0.16666666666666666,1.0
CPI-knockoff,0.0,0.0,1.0
CPI-knockoff,0.1,0.0,1.0
CPI-knockoff,0.3,0.0,1.0
CPI-knockoff,0.5,0.16666666666666666,1.0
CPI-knockoff,0.7,0.0,1.0
CPI-knockoff,0.9,0.0,1.0
m-X-knockoff,0.0,0.2857142857142857,1.0
m-X-knockoff,0.1,0.0,1.0
m-X-knockoff,0.3,0.16666666666666666,1.0
m-X-knockoff,0.5,0.0,1.0
m-X-knockoff,0.7,0.16666666666666666,1.0
m-X-knockoff,0.9,0.0,1.0
CPI-knockoff,0.0,0.0,1.0
CPI-knockoff,0.1,0.0,1.0
CPI-knockoff,0.3,0.0,1.0
CPI-knockoff,0.5,0.0,1.0
CPI-knockoff,0.7,0.16666666666666666,1.0
CPI-knockoff,0.9,0.0,1.0
m-X-knockoff,0.0,0.16666666666666666,1.0
m-X-knockoff,0.1,0.375,1.0
m-X-knockoff,0.3,0.0,1.0
m-X-knockoff,0.5,0.375,1.0
m-X-knockoff,0.7,0.0,1.0
m-X-knockoff,0.9,0.0,1.0
CPI-knockoff,0.0,0.0,1.0
CPI-knockoff,0.1,0.0,1.0
CPI-knockoff,0.3,0.0,1.0
CPI-knockoff,0.5,0.0,1.0
CPI-knockoff,0.7,0.0,1.0
CPI-knockoff,0.9,0.0,1.0
m-X-knockoff,0.0,0.0,1.0
m-X-knockoff,0.1,0.16666666666666666,1.0
m-X-knockoff,0.3,0.0,1.0
m-X-knockoff,0.5,0.16666666666666666,1.0
m-X-knockoff,0.7,0.0,1.0
m-X-knockoff,0.9,0.0,1.0
CPI-knockoff,0.0,0.0,1.0
CPI-knockoff,0.1,0.0,1.0
CPI-knockoff,0.3,0.0,1.0
CPI-knockoff,0.5,0.0,1.0
CPI-knockoff,0.7,0.0,1.0
CPI-knockoff,0.9,0.0,1.0
m-X-knockoff,0.0,0.16666666666666666,1.0
m-X-knockoff,0.1,0.0,1.0
m-X-knockoff,0.3,0.0,1.0
m-X-knockoff,0.5,0.0,1.0
m-X-knockoff,0.7,0.0,1.0
m-X-knockoff,0.9,0.0,1.0
CPI-knockoff,0.0,0.0,1.0
CPI-knockoff,0.1,0.0,1.0
CPI-knockoff,0.3,0.0,1.0
CPI-knockoff,0.5,0.0,1.0
CPI-knockoff,0.7,0.16666666666666666,1.0
CPI-knockoff,0.9,0.375,1.0
m-X-knockoff,0.0,0.2857142857142857,1.0
m-X-knockoff,0.1,0.0,1.0
m-X-knockoff,0.3,0.16666666666666666,1.0
m-X-knockoff,0.5,0.7058823529411765,1.0
m-X-knockoff,0.7,0.0,1.0
m-X-knockoff,0.9,0.0,1.0
CPI-knockoff,0.0,0.0,1.0
CPI-knockoff,0.1,0.0,1.0
CPI-knockoff,0.3,0.0,1.0
CPI-knockoff,0.5,0.0,1.0
CPI-knockoff,0.7,0.0,1.0
CPI-knockoff,0.9,0.0,1.0
