method,rho,fdr,power,score
m-X-knockoff,0.0,0.0,0.0,0.05572935245214883
m-X-knockoff,0.1,0.0,0.0,0.015004349638597425
m-X-knockoff,0.3,0.0,0.0,0.06358038213490469
m-X-knockoff,0.5,0.0,0.0,0.0705346456129462
m-X-knockoff,0.7,0.3333333333333333,0.4,0.15278124926075864
m-X-knockoff,0.9,0.0,0.0,0.005940090138621956
CPI-knockoff,0.0,0.0,0.0,0.33457105305837764
CPI-knockoff,0.1,0.0,0.5,0.3389648018701653
CPI-knockoff,0.3,0.3333333333333333,0.8,0.40122167125770747
CPI-knockoff,0.5,0.2,0.8,0.44616374677682186
CPI-knockoff,0.7,0.1,0.9,0.6962213502847974
CPI-knockoff,0.9,0.14285714285714285,0.6,0.82496232416088
CPI-LS-knockoff,0.0,0.0,0.0,-0.001068300765073138
CPI-LS-knockoff,0.1,0.0,0.0,-0.004896427483674803
CPI-LS-knockoff,0.3,0.0,0.0,-0.007023360658487077
CPI-LS-knockoff,0.5,0.0,0.0,-0.017603307215441344
CPI-LS-knockoff,0.7,0.0,0.0,0.010897382414236212
CPI-LS-knockoff,0.9,0.0,0.0,-0.014691186710685589
m-X-knockoff,0.0,0.0,0.0,0.02193038554215887
m-X-knockoff,0.1,0.0,0.0,0.008120369465969501
m-X-knockoff,0.3,0.0,0.0,0.0278918439293242
m-X-knockoff,0.5,0.0,0.0,0.09490007809899248
m-X-knockoff,0.7,0.3333333333333333,0.4,0.09012921072594027
m-X-knockoff,0.9,0.0,0.0,0.07128916015040665
CPI-knockoff,0.0,0.0,0.0,0.3312816047568951
CPI-knockoff,0.1,0.0,0.5,0.33232393235352153
CPI-knockoff,0.3,0.0,0.5,0.31289893448947337
CPI-knockoff,0.5,0.09090909090909091,1.0,0.5439911715001818
CPI-knockoff,0.7,0.1111111111111111,0.8,0.7202680978888192
CPI-knockoff,0.9,0.0,0.6,0.8241892018402641
CPI-LS-knockoff,0.0,0.0,0.0,-0.008862659871974654
CPI-LS-knockoff,0.1,0.0,0.0,-0.0002298371909088548
CPI-LS-knockoff,0.3,0.0,0.0,-0.030659538335197856
CPI-LS-knockoff,0.5,0.0,0.0,-0.00424170916579103
CPI-LS-knockoff,0.7,0.0,0.0,-0.003921878586095828
CPI-LS-knockoff,0.9,0.0,0.0,0.01837059402067681
m-X-knockoff,0.0,0.0,0.0,0.002168806121044531
m-X-knockoff,0.1,0.0,0.0,0.010451508773577034
m-X-knockoff,0.3,0.0,0.0,0.05889771615812067
m-X-knockoff,0.5,0.0,0.0,0.019321923923435347
m-X-knockoff,0.7,0.0,0.0,0.14487960687042867
m-X-knockoff,0.9,0.0,0.0,0.10687355355587613
CPI-knockoff,0.0,0.0,0.0,0.28328852908731394
CPI-knockoff,0.1,0.0,0.0,0.32351680922823456
CPI-knockoff,0.3,0.0,0.5,0.47044390779261236
CPI-knockoff,0.5,0.0,0.9,0.5842361607122374
CPI-knockoff,0.7,0.0,0.8,0.6217159044436559
CPI-knockoff,0.9,0.3,0.7,0.7691406732780057
CPI-LS-knockoff,0.0,0.0,0.0,-0.001649180743828027
CPI-LS-knockoff,0.1,0.0,0.0,-0.005767930519455677
CPI-LS-knockoff,0.3,0.0,0.0,-0.0025589194981510133
CPI-LS-knockoff,0.5,0.0,0.0,-0.00018223987230991945
CPI-LS-knockoff,0.7,0.0,0.0,-0.026331776719132893
