method,rho,fdr,power,score
CPI-LS-knockoff,0.9,0.0,0.0,0.053582050878065
m-X-knockoff,0.0,0.0,0.0,-0.03397294543641505
m-X-knockoff,0.1,0.0,0.0,0.042512666613716554
m-X-knockoff,0.3,0.0,0.0,0.01624375928705213
m-X-knockoff,0.5,0.0,0.0,0.0308957441453378
m-X-knockoff,0.7,0.0,0.0,0.12561558998432554
m-X-knockoff,0.9,0.0,0.0,0.004201031310081871
CPI-knockoff,0.0,0.3333333333333333,0.4,0.2675506932684999
CPI-knockoff,0.1,0.0,0.0,0.32127894866318696
CPI-knockoff,0.3,0.2,0.8,0.36169438119093356
CPI-knockoff,0.5,0.16666666666666666,1.0,0.47099889368806025
CPI-knockoff,0.7,0.0,0.8,0.7371066222804983
CPI-knockoff,0.9,0.0,0.6,0.799403399875382
CPI-LS-knockoff,0.0,0.0,0.0,-0.002902653375793318
CPI-LS-knockoff,0.1,0.0,0.0,-0.0004835069506959888
CPI-LS-knockoff,0.3,0.0,0.0,-9.673558571399177e-05
CPI-LS-knockoff,0.5,0.0,0.0,-8.329581189592261e-05
CPI-LS-knockoff,0.7,0.0,0.0,0.09666378059785474
CPI-LS-knockoff,0.9,0.4,0.3,0.05060522298761172
m-X-knockoff,0.0,0.0,0.0,0.01433951998351557
m-X-knockoff,0.1,0.0,0.0,0.048917053013372236
m-X-knockoff,0.3,0.0,0.0,0.08679372099526739
m-X-knockoff,0.5,0.0,0.0,0.0440547815299116
m-X-knockoff,0.7,0.0,0.0,0.13595251443246625
m-X-knockoff,0.9,0.0,0.0,0.012203026794258887
CPI-knockoff,0.0,0.0,0.0,0.2718511020656661
CPI-knockoff,0.1,0.0,0.0,0.3049355273284228
CPI-knockoff,0.3,0.38461538461538464,0.8,0.38197550104159705
CPI-knockoff,0.5,0.0,0.7,0.42372409051606363
CPI-knockoff,0.7,0.18181818181818182,0.9,0.7105304238020933
CPI-knockoff,0.9,0.55,0.9,0.833705417531638
CPI-LS-knockoff,0.0,0.0,0.0,-8.175344963812226e-05
CPI-LS-knockoff,0.1,0.0,0.0,-1.4366042064950513e-05
CPI-LS-knockoff,0.3,0.0,0.0,-0.008940043466692749
CPI-LS-knockoff,0.5,0.0,0.0,-4.9164210490504345e-06
CPI-LS-knockoff,0.7,0.0,0.0,-0.009777524019228379
CPI-LS-knockoff,0.9,0.0,0.0,0.05685053966760828
m-X-knockoff,0.0,0.0,0.0,0.03081961779464193
m-X-knockoff,0.1,0.0,0.0,0.02572372228480646
m-X-knockoff,0.3,0.0,0.0,0.0755993884802939
m-X-knockoff,0.5,0.0,0.0,0.04273248305588362
m-X-knockoff,0.7,0.0,0.0,0.13255407669258845
m-X-knockoff,0.9,0.0,0.0,0.14794602561122594
CPI-knockoff,0.0,0.0,0.0,0.40017736942391124
CPI-knockoff,0.1,0.6,0.4,0.32490713224861395
CPI-knockoff,0.3,0.2727272727272727,0.8,0.3705079543243979
CPI-knockoff,0.5,0.0,0.9,0.5038755054045285
CPI-knockoff,0.7,0.25,0.9,0.6443168475062564
CPI-knockoff,0.9,0.2,0.8,0.8504199753290271
CPI-LS-knockoff,0.0,0.0,0.0,-9.105137890319526e-06
CPI-LS-knockoff,0.1,0.0,0.0,-0.0017065190293823473
CPI-LS-knockoff,0.3,0.0,0.0,-0.001118005866266647
CPI-LS-knockoff,0.5,0.0,0.0,-0.012314736453269415
CPI-LS-knockoff,0.7,0.0,0.0,-0.004631653577291006
CPI-LS-knockoff,0.9,0.0,0.0,0.052074759944729376
m-X-knockoff,0.0,0.8,0.1,-0.00781893005547607
m-X-knockoff,0.1,0.0,0.0,0.021277754503392532
m-X-knockoff,0.3,0.0,0.0,-0.019611322902976625
m-X-knockoff,0.5,0.0,0.0,0.10198740389997485
m-X-knockoff,0.7,0.3333333333333333,0.4,0.10213514664777013
m-X-knockoff,0.9,0.0,0.0,0.026344351279334988
CPI-knockoff,0.0,0.0,0.0,0.2602542688115231
CPI-knockoff,0.1,0.0,0.0,0.2599673086181494
CPI-knockoff,0.3,0.2727272727272727,0.8,0.2627051675067921
CPI-knockoff,0.5,0.3333333333333333,1.0,0.5209818003751836
CPI-knockoff,0.7,0.18181818181818182,0.9,0.6810414704763218
CPI-knockoff,0.9,0.2,0.8,0.7605985347494565
CPI-LS-knockoff,0.0,0.0,0.0,-0.0005169095762750375
CPI-LS-knockoff,0.1,0.0,0.0,-0.0005394780147407463
CPI-LS-knockoff,0.3,0.0,0.0,-0.017505624905598482
CPI-LS-knockoff,0.5,0.0,0.0,0.002074560621226129
CPI-LS-knockoff,0.7,0.0,0.0,0.03877985012418339
CPI-LS-knockoff,0.9,0.0,0.0,0.041298345832845695
m-X-knockoff,0.0,0.0,0.0,0.005515766550438284
m-X-knockoff,0.1,0.0,0.0,-0.0006983500125188336
m-X-knockoff,0.3,0.6,0.2,0.020780251600931887
m-X-knockoff,0.5,0.0,0.0,0.05332602051142521
m-X-knockoff,0.7,0.2,0.4,0.1771234242993045
m-X-knockoff,0.9,0.0,0.0,0.16775884933539809
CPI-knockoff,0.0,0.2,0.4,0.27163283902980145
CPI-knockoff,0.1,0.0,0.0,0.29203410956165277
CPI-knockoff,0.3,0.0,0.6,0.42347726150337817
CPI-knockoff,0.5,0.0,1.0,0.6033698799277181
CPI-knockoff,0.7,0.25,0.9,0.6344914976430448
CPI-knockoff,0.9,0.2727272727272727,0.8,0.7999922096534318
CPI-LS-knockoff,0.0,0.0,0.0,-0.02931218360136345
CPI-LS-knockoff,0.1,0.0,0.0,-0.0015838369654507245
CPI-LS-knockoff,0.3,0.0,0.0,-0.013573761125242112
CPI-LS-knockoff,0.5,0.0,0.0,0.05023501640652911
CPI-LS-knockoff,0.7,0.0,0.0,-0.00982342460716168
CPI-LS-knockoff,0.9,0.0,0.0,0.15973266278078047
m-X-knockoff,0.0,0.0,0.0,0.04950566113305466
m-X-knockoff,0.1,0.0,0.0,0.006216458622388732
m-X-knockoff,0.3,0.0,0.0,0.027071278016597033
m-X-knockoff,0.5,0.0,0.0,0.17167160833373507
m-X-knockoff,0.7,0.2,0.4,0.12828870918735136
m-X-knockoff,0.9,0.0,0.0,0.0769983064720492
CPI-knockoff,0.0,0.0,0.0,0.29366997731018635
CPI-knockoff,0.1,0.0,0.0,0.2574443158344902
CPI-knockoff,0.3,0.0,0.0,0.39970329833414736
CPI-knockoff,0.5,0.1,0.9,0.5472052571942071
CPI-knockoff,0.7,0.5,0.8,0.6902999215020214
CPI-knockoff,0.9,0.0,0.7,0.8325244054177271
CPI-LS-knockoff,0.0,0.0,0.0,-0.010003426468542576
CPI-LS-knockoff,0.1,0.0,0.0,-0.0015074266992989305
CPI-LS-knockoff,0.3,0.0,0.0,-0.0004879239950694725
CPI-LS-knockoff,0.5,0.0,0.0,0.05259471810014027
CPI-LS-knockoff,0.7,0.0,0.0,-0.0010512600728002086
CPI-LS-knockoff,0.9,0.0,0.0,0.0531028986900306
m-X-knockoff,0.0,0.0,0.0,0.04680423725595151
m-X-knockoff,0.1,0.0,0.0,0.04647412723379618
m-X-knockoff,0.3,0.0,0.0,0.017939097952192173
m-X-knockoff,0.5,0.0,0.0,0.037054133974463
m-X-knockoff,0.7,0.0,0.0,0.030365844246357354
m-X-knockoff,0.9,0.0,0.0,0.0406961365063202
CPI-knockoff,0.0,0.0,0.0,0.35926626243451054
CPI-knockoff,0.1,0.0,0.0,0.3061226734036582
CPI-knockoff,0.3,0.0,0.7,0.3441423505036419
CPI-knockoff,0.5,0.4444444444444444,1.0,0.4640391987836273
CPI-knockoff,0.7,0.1,0.9,0.6824805639501245
CPI-knockoff,0.9,0.25,0.6,0.7514750744674374
CPI-LS-knockoff,0.0,0.0,0.0,-0.00041124886755028456
CPI-LS-knockoff,0.1,0.0,0.0,-0.00018217675964360414
CPI-LS-knockoff,0.3,0.0,0.0,-0.008985223022675903
CPI-LS-knockoff,0.5,0.0,0.0,-0.00021293293158852755
CPI-LS-knockoff,0.7,0.0,0.0,-0.005661606400649666
CPI-LS-knockoff,0.9,0.0,0.0,-0.01957690721981975
