fdp_mx,fdp_cpi,fdp_cpi_lasso,power_mx,power_cpi,power_cpi_lasso
0.03333333333333333,0.17647058823529413,0.17647058823529413,0.58,0.84,0.84
0.10638297872340426,0.0,0.0,0.84,0.82,0.82
0.023809523809523808,0.26666666666666666,0.26666666666666666,0.82,0.88,0.88
0.1111111111111111,0.2459016393442623,0.2459016393442623,0.8,0.92,0.92
0.0,0.26229508196721313,0.26229508196721313,0.64,0.9,0.9
0.08888888888888889,0.16071428571428573,0.16071428571428573,0.82,0.94,0.94
0.10416666666666667,0.0,0.0,0.86,0.88,0.88
0.027777777777777776,0.12962962962962962,0.12962962962962962,0.7,0.94,0.94
0.05,0.34328358208955223,0.34328358208955223,0.76,0.88,0.88
0.06521739130434782,0.2698412698412698,0.2698412698412698,0.86,0.92,0.92
0.18333333333333332,0.15384615384615385,0.15384615384615385,0.98,0.88,0.88
0.08888888888888889,0.30303030303030304,0.30303030303030304,0.82,0.92,0.92
0.13725490196078433,0.08695652173913043,0.08695652173913043,0.88,0.84,0.84
0.0,0.0,0.0,0.4,0.84,0.84
0.0,0.1276595744680851,0.1276595744680851,0.78,0.82,0.82
0.025,0.21428571428571427,0.21428571428571427,0.78,0.88,0.88
0.10416666666666667,0.12727272727272726,0.12727272727272726,0.86,0.96,0.96
0.0,0.14,0.14,0.56,0.86,0.86
0.030303030303030304,0.23636363636363636,0.23636363636363636,0.64,0.84,0.84
0.04878048780487805,0.18181818181818182,0.18181818181818182,0.78,0.9,0.9
0.02702702702702703,0.21818181818181817,0.21818181818181817,0.72,0.86,0.86
0.08163265306122448,0.14583333333333334,0.14583333333333334,0.9,0.82,0.82
0.19230769230769232,0.16363636363636364,0.16363636363636364,0.84,0.92,0.92
0.022727272727272728,0.125,0.125,0.86,0.84,0.84
0.044444444444444446,0.12244897959183673,0.12244897959183673,0.86,0.86,0.86
