fdp_mx,fdp_cpi,fdp_cpi_lasso,power_mx,power_cpi,power_cpi_lasso
0.0,0.375,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.16666666666666666,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0
0.2,0.0,0.0,0.8,1.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.6153846153846154,0.0,0.0,1.0,0.0
0.0,0.2857142857142857,0.0,0.0,1.0,0.0
0.0,0.16666666666666666,0.0,0.0,1.0,0.0
0.0,0.0,0.42857142857142855,0.0,1.0,0.8
0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.16666666666666666,0.0,0.0,1.0,0.0
0.0,0.16666666666666666,0.4,0.0,1.0,0.6
0.0,0.16666666666666666,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0
