fdp_mx,fdp_cpi,fdp_cpi_lasso,power_mx,power_cpi,power_cpi_lasso
0.3333333333333333,0.2727272727272727,0.0,0.4,0.8,0.0
0.0,0.1111111111111111,0.0,0.0,0.8,0.0
0.0,0.1,0.0,0.0,0.9,0.0
0.0,0.09090909090909091,0.0,0.0,1.0,0.0
0.0,0.2727272727272727,0.0,0.0,0.8,0.0
0.0,0.1,0.42857142857142855,0.0,0.9,0.4
0.5,0.2,0.0,0.3,0.8,0.0
0.2,0.1,0.375,0.4,0.9,0.5
0.0,0.18181818181818182,0.0,0.0,0.9,0.0
0.0,0.0,0.4,0.0,0.8,0.3
0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.1,0.0,0.0,0.9,0.0
0.0,0.0,0.0,0.0,0.8,0.0
0.0,0.0,0.0,0.0,0.9,0.0
0.0,0.16666666666666666,0.0,0.0,1.0,0.0
0.0,0.18181818181818182,0.0,0.0,0.9,0.0
0.0,0.2727272727272727,0.0,0.0,0.8,0.0
0.0,0.1,0.0,0.0,0.9,0.0
0.0,0.0,0.0,0.0,0.6,0.0
0.0,0.0,0.0,0.0,0.8,0.0
0.0,0.0,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.8,0.0
0.0,0.3333333333333333,0.0,0.0,1.0,0.0
0.0,0.16666666666666666,0.0,0.0,1.0,0.0
0.0,0.0,0.0,0.0,0.9,0.0
