method,rho,fdr,power
m-X-knockoff,0.0,0.0,0.0
m-X-knockoff,0.1,0.0,0.0
m-X-knockoff,0.3,0.42857142857142855,0.4
m-X-knockoff,0.5,0.14285714285714285,0.6
m-X-knockoff,0.7,0.125,0.7
m-X-knockoff,0.9,0.0,0.0
CPI-knockoff,0.0,0.0,0.0
CPI-knockoff,0.1,0.0,0.0
CPI-knockoff,0.3,0.0,0.5
CPI-knockoff,0.5,0.2727272727272727,0.8
CPI-knockoff,0.7,0.0,0.8
CPI-knockoff,0.9,0.0,0.8
m-X-knockoff,0.0,0.0,0.0
m-X-knockoff,0.1,0.0,0.0
m-X-knockoff,0.3,0.4,0.3
m-X-knockoff,0.5,0.0,0.0
m-X-knockoff,0.7,0.0,0.0
m-X-knockoff,0.9,0.0,0.0
CPI-knockoff,0.0,0.0,0.0
CPI-knockoff,0.1,0.0,0.0
CPI-knockoff,0.3,0.0,0.0
CPI-knockoff,0.5,0.0,0.8
CPI-knockoff,0.7,0.0,0.8
CPI-knockoff,0.9,0.0,0.0
m-X-knockoff,0.0,0.0,0.0
m-X-knockoff,0.1,0.0,0.0
m-X-knockoff,0.3,0.0,0.0
m-X-knockoff,0.5,0.3333333333333333,0.4
m-X-knockoff,0.7,0.0,0.0
m-X-knockoff,0.9,0.0,0.0
CPI-knockoff,0.0,0.0,0.0
CPI-knockoff,0.1,0.2,0.4
CPI-knockoff,0.3,0.4166666666666667,0.7
CPI-knockoff,0.5,0.16666666666666666,1.0
CPI-knockoff,0.7,0.0,0.9
CPI-knockoff,0.9,0.1111111111111111,0.8
m-X-knockoff,0.0,0.6,0.2
m-X-knockoff,0.1,0.0,0.0
m-X-knockoff,0.3,0.0,0.0
m-X-knockoff,0.5,0.5,0.6
m-X-knockoff,0.7,0.375,0.5
m-X-knockoff,0.9,0.0,0.0
CPI-knockoff,0.0,0.0,0.0
CPI-knockoff,0.1,0.0,0.5
CPI-knockoff,0.3,0.0,0.6
CPI-knockoff,0.5,0.1,0.9
CPI-knockoff,0.7,0.3076923076923077,0.9
CPI-knockoff,0.9,0.0,0.5
m-X-knockoff,0.0,0.0,0.0
m-X-knockoff,0.1,0.0,0.0
m-X-knockoff,0.3,0.0,0.0
m-X-knockoff,0.5,0.0,0.0
m-X-knockoff,0.7,0.0,0.0
m-X-knockoff,0.9,0.2,0.4
CPI-knockoff,0.0,0.0,0.0
CPI-knockoff,0.1,0.0,0.0
CPI-knockoff,0.3,0.36363636363636365,0.7
CPI-knockoff,0.5,0.4,0.9
CPI-knockoff,0.7,0.0,0.8
CPI-knockoff,0.9,0.4,0.9
m-X-knockoff,0.0,0.0,0.0
m-X-knockoff,0.1,0.5,0.3
m-X-knockoff,0.3,0.0,0.0
m-X-knockoff,0.5,0.2857142857142857,0.5
m-X-knockoff,0.7,0.0,0.5
m-X-knockoff,0.9,0.0,0.0
CPI-knockoff,0.0,0.4,0.3
CPI-knockoff,0.1,0.0,0.0
CPI-knockoff,0.3,0.0,0.7
CPI-knockoff,0.5,0.16666666666666666,1.0
CPI-knockoff,0.7,0.1,0.9
CPI-knockoff,0.9,0.0,0.0
m-X-knockoff,0.0,0.0,0.0
m-X-knockoff,0.1,0.0,0.0
m-X-knockoff,0.3,0.2,0.4
m-X-knockoff,0.5,0.0,0.0
m-X-knockoff,0.7,0.0,0.5
m-X-knockoff,0.9,0.0,0.0
CPI-knockoff,0.0,0.0,0.0
CPI-knockoff,0.1,0.0,0.0
CPI-knockoff,0.3,0.0,0.8
CPI-knockoff,0.5,0.09090909090909091,1.0
CPI-knockoff,0.7,0.1,0.9
CPI-knockoff,0.9,0.0,0.7
m-X-knockoff,0.0,0.0,0.0
m-X-knockoff,0.1,0.0,0.0
m-X-knockoff,0.3,0.0,0.0
m-X-knockoff,0.5,0.0,0.0
m-X-knockoff,0.7,0.0,0.0
m-X-knockoff,0.9,0.0,0.0
CPI-knockoff,0.0,0.0,0.0
CPI-knockoff,0.1,0.45454545454545453,0.6
CPI-knockoff,0.3,0.0,0.5
CPI-knockoff,0.5,0.16666666666666666,1.0
CPI-knockoff,0.7,0.2857142857142857,1.0
CPI-knockoff,0.9,0.0,0.7
m-X-knockoff,0.0,0.0,0.0
m-X-knockoff,0.1,0.4,0.3
m-X-knockoff,0.3,0.0,0.0
m-X-knockoff,0.5,0.0,0.0
m-X-knockoff,0.7,0.0,0.6
m-X-knockoff,0.9,0.4,0.3
CPI-knockoff,0.0,0.3333333333333333,0.4
CPI-knockoff,0.1,0.0,0.0
CPI-knockoff,0.3,0.0,0.9
CPI-knockoff,0.5,0.14285714285714285,0.6
CPI-knockoff,0.7,0.4117647058823529,1.0
CPI-knockoff,0.9,0.16666666666666666,0.5
m-X-knockoff,0.0,0.0,0.0
m-X-knockoff,0.1,0.0,0.0
m-X-knockoff,0.3,0.14285714285714285,0.6
m-X-knockoff,0.5,0.0,0.0
m-X-knockoff,0.7,0.0,0.0
m-X-knockoff,0.9,0.0,0.0
CPI-knockoff,0.0,0.0,0.0
CPI-knockoff,0.1,0.5833333333333334,0.5
CPI-knockoff,0.3,0.25,0.6
CPI-knockoff,0.5,0.4444444444444444,1.0
CPI-knockoff,0.7,0.2,0.8
CPI-knockoff,0.9,0.3076923076923077,0.9
